Source,Destination
192.168.248.21,176.53.17.23
192.168.248.21,176.53.17.23
176.53.17.23,192.168.248.21
176.53.17.23,192.168.248.21
176.53.17.23,192.168.248.21
176.53.17.23,192.168.248.21
176.53.17.23,192.168.248.21
176.53.17.23,192.168.248.21
176.53.17.23,192.168.248.21
192.168.248.21,176.53.17.23
176.53.17.23,192.168.248.21
192.168.248.21,176.53.17.23
176.53.17.23,192.168.248.21
192.168.248.21,176.53.17.23
176.53.17.23,192.168.248.21
192.168.248.21,176.53.17.23
176.53.17.23,192.168.248.21
176.53.17.23,192.168.248.21
192.168.248.21,176.53.17.23
176.53.17.23,192.168.248.21
192.168.248.21,176.53.17.23
192.168.248.21,176.53.17.23
192.168.248.21,176.53.17.23
176.53.17.23,192.168.248.21
192.168.248.21,177.77.205.145
192.168.248.21,200.58.181.182
192.168.248.21,82.213.131.86
192.168.248.21,46.191.175.120
192.168.248.21,85.29.155.183
192.168.248.21,124.39.226.162
192.168.248.21,212.112.118.140
192.168.248.21,188.136.160.76
192.168.248.21,186.22.103.242
192.168.248.21,170.51.184.159
176.53.17.23,192.168.248.21
176.53.17.23,192.168.248.21
192.168.248.21,176.53.17.23
192.168.248.21,176.53.17.23
176.53.17.23,192.168.248.21
192.168.248.21,176.53.17.23
192.168.248.21,176.53.17.23
46.191.175.120,192.168.248.21
176.53.17.23,192.168.248.21
176.53.17.23,192.168.248.21
176.53.17.23,192.168.248.21
192.168.248.21,176.53.17.23
176.53.17.23,192.168.248.21
192.168.248.21,176.53.17.23
176.53.17.23,192.168.248.21
192.168.248.21,46.191.175.120
46.191.175.120,192.168.248.21
192.168.248.21,46.191.175.120
46.191.175.120,192.168.248.21
192.168.248.21,200.112.252.155
192.168.248.21,177.77.205.145
192.168.248.21,200.58.181.182
192.168.248.21,82.213.131.86
192.168.248.21,85.29.155.183
192.168.248.21,124.39.226.162
192.168.248.21,212.112.118.140
192.168.248.21,188.136.160.76
192.168.248.21,186.22.103.242
192.168.248.21,170.51.184.159
192.168.248.21,200.112.252.155
177.77.205.145,192.168.248.21
192.168.248.21,177.77.205.145
177.77.205.145,192.168.248.21
192.168.248.21,46.40.84.222
192.168.248.21,200.58.181.182
192.168.248.21,82.213.131.86
192.168.248.21,85.29.155.183
192.168.248.21,124.39.226.162
192.168.248.21,212.112.118.140
192.168.248.21,188.136.160.76
192.168.248.21,186.22.103.242
192.168.248.21,170.51.184.159
192.168.248.21,46.40.84.222
192.168.248.21,200.112.252.155
192.168.248.21,46.40.84.222
192.168.248.21,186.157.21.111
192.168.248.21,178.76.100.113
192.168.248.21,85.92.239.108
192.168.248.21,41.70.153.25
192.168.248.21,77.77.245.215
192.168.248.21,14.96.213.41
192.168.248.21,178.19.22.191
192.168.248.21,201.164.198.244
178.19.22.191,192.168.248.21
192.168.248.21,93.113.88.91
192.168.248.21,178.19.22.191
192.168.248.21,178.19.22.191
14.96.213.41,192.168.248.21
178.19.22.191,192.168.248.21
178.19.22.191,192.168.248.21
192.168.248.21,178.19.22.191
178.19.22.191,192.168.248.21
192.168.248.21,178.19.22.191
192.168.248.21,178.19.22.191
192.168.248.21,14.96.213.41
186.157.21.111,192.168.248.21
178.19.22.191,192.168.248.21
178.19.22.191,192.168.248.21
14.96.213.41,192.168.248.21
192.168.248.21,186.157.21.111
192.168.248.21,186.98.183.23
192.168.248.21,14.96.213.41
186.157.21.111,192.168.248.21
14.96.213.41,192.168.248.21
192.168.248.21,72.216.6.89
192.168.248.21,186.157.21.111
192.168.248.21,178.76.100.113
192.168.248.21,85.92.239.108
192.168.248.21,41.70.153.25
192.168.248.21,77.77.245.215
192.168.248.21,201.164.198.244
186.157.21.111,192.168.248.21
192.168.248.21,91.218.169.218
192.168.248.21,93.113.88.91
91.218.169.218,192.168.248.21
192.168.248.21,91.218.169.218
91.218.169.218,192.168.248.21
192.168.248.21,186.98.183.23
192.168.248.21,91.218.169.218
192.168.248.21,72.216.6.89
91.218.169.218,192.168.248.21
192.168.248.21,72.200.29.195
192.168.248.21,197.177.23.39
192.168.248.21,72.200.29.195
192.168.248.21,178.76.100.113
192.168.248.21,85.92.239.108
192.168.248.21,41.70.153.25
192.168.248.21,77.77.245.215
192.168.248.21,201.164.198.244
192.168.248.21,93.113.88.91
197.177.23.39,192.168.248.21
192.168.248.21,197.177.23.39
192.168.248.21,186.98.183.23
192.168.248.21,72.216.6.89
197.177.23.39,192.168.248.21
192.168.248.21,197.177.23.39
197.177.23.39,192.168.248.21
192.168.248.21,140.112.251.82
140.112.251.82,192.168.248.21
192.168.248.21,188.158.144.76
192.168.248.21,140.112.251.82
192.168.248.21,140.112.251.82
140.112.251.82,192.168.248.21
140.112.251.82,192.168.248.21
192.168.248.21,140.112.251.82
140.112.251.82,192.168.248.21
192.168.248.21,140.112.251.82
192.168.248.21,140.112.251.82
140.112.251.82,192.168.248.21
140.112.251.82,192.168.248.21
192.168.248.21,72.200.29.195
192.168.248.21,188.158.144.76
192.168.248.21,88.11.127.0
88.11.127.0,192.168.248.21
192.168.248.21,85.9.126.151
192.168.248.21,68.188.164.247
192.168.248.21,190.200.208.153
192.168.248.21,178.206.166.32
192.168.248.21,95.58.228.90
192.168.248.21,88.11.127.0
95.58.228.90,192.168.248.21
88.11.127.0,192.168.248.21
192.168.248.21,95.58.228.90
192.168.248.21,188.158.144.76
192.168.248.21,88.11.127.0
95.58.228.90,192.168.248.21
88.11.127.0,192.168.248.21
192.168.248.21,41.82.197.81
192.168.248.21,190.105.102.181
192.168.248.21,95.58.228.90
95.58.228.90,192.168.248.21
192.168.248.21,190.205.146.45
192.168.248.21,87.247.42.122
192.168.248.21,85.9.126.151
192.168.248.21,68.188.164.247
192.168.248.21,190.200.208.153
192.168.248.21,178.206.166.32
192.168.248.21,41.82.197.81
192.168.248.21,190.105.102.181
192.168.248.21,190.205.146.45
192.168.248.21,87.247.42.122
192.168.248.21,2.133.223.142
192.168.248.21,2.133.223.142
192.168.248.21,85.9.126.151
192.168.248.21,68.188.164.247
192.168.248.21,190.200.208.153
192.168.248.21,178.206.166.32
192.168.248.21,41.82.197.81
192.168.248.21,190.105.102.181
192.168.248.21,190.205.146.45
192.168.248.21,87.247.42.122
192.168.248.21,177.117.244.4
192.168.248.21,2.133.223.142
192.168.248.21,177.117.244.4
192.168.248.21,188.24.207.62
192.168.248.21,82.114.177.36
188.24.207.62,192.168.248.21
192.168.248.21,188.24.207.62
188.24.207.62,192.168.248.21
192.168.248.21,123.236.51.134
192.168.248.21,188.24.207.62
188.24.207.62,192.168.248.21
192.168.248.21,186.103.104.123
192.168.248.21,197.225.175.149
192.168.248.21,82.114.177.36
192.168.248.21,123.236.51.134
192.168.248.21,186.103.104.123
192.168.248.21,197.225.175.149
192.168.248.21,93.116.2.138
93.116.2.138,192.168.248.21
192.168.248.21,188.187.57.113
192.168.248.21,93.116.2.138
192.168.248.21,93.116.2.138
192.168.248.21,177.31.8.144
192.168.248.21,75.152.62.199
192.168.248.21,189.220.107.185
192.168.248.21,89.238.36.146
192.168.248.21,75.185.37.9
75.185.37.9,192.168.248.21
89.238.36.146,192.168.248.21
192.168.248.21,101.63.129.64
192.168.248.21,89.238.36.146
192.168.248.21,89.238.36.146
192.168.248.21,75.185.37.9
89.238.36.146,192.168.248.21
89.238.36.146,192.168.248.21
192.168.248.21,89.238.36.146
75.185.37.9,192.168.248.21
89.238.36.146,192.168.248.21
192.168.248.21,89.238.36.146
192.168.248.21,89.238.36.146
192.168.248.21,188.187.57.113
89.238.36.146,192.168.248.21
89.238.36.146,192.168.248.21
192.168.248.21,75.185.37.9
75.185.37.9,192.168.248.21
192.168.248.21,213.149.153.183
213.149.153.183,192.168.248.21
192.168.248.21,187.78.108.125
192.168.248.21,213.149.153.183
192.168.248.21,213.149.153.183
192.168.248.21,82.114.177.36
192.168.248.21,123.236.51.134
192.168.248.21,177.31.8.144
192.168.248.21,75.152.62.199
192.168.248.21,189.220.107.185
192.168.248.21,101.63.129.64
192.168.248.21,186.103.104.123
192.168.248.21,197.225.175.149
192.168.248.21,187.78.108.125
192.168.248.21,188.187.57.113
192.168.248.21,177.31.8.144
192.168.248.21,75.152.62.199
192.168.248.21,189.220.107.185
192.168.248.21,101.63.129.64
192.168.248.21,187.78.108.125
192.168.248.21,65.0.10.88
192.168.248.21,115.241.89.2
192.168.248.21,217.202.252.60
192.168.248.21,112.204.182.1
217.202.252.60,192.168.248.21
192.168.248.21,217.202.252.60
217.202.252.60,192.168.248.21
192.168.248.21,65.0.10.88
192.168.248.21,217.202.252.60
217.202.252.60,192.168.248.21
192.168.248.21,90.13.21.251
192.168.248.21,115.241.89.2
192.168.248.21,112.204.182.1
192.168.248.21,115.184.149.68
192.168.248.21,90.13.21.251
192.168.248.21,190.88.51.39
192.168.248.21,213.102.146.207
192.168.248.21,79.118.8.115
192.168.248.21,95.58.238.186
190.88.51.39,192.168.248.21
192.168.248.21,202.2.108.212
192.168.248.21,190.88.51.39
192.168.248.21,190.88.51.39
192.168.248.21,115.184.149.68
192.168.248.21,188.234.65.95
192.168.248.21,65.0.10.88
192.168.248.21,115.241.89.2
192.168.248.21,213.102.146.207
192.168.248.21,79.118.8.115
192.168.248.21,95.58.238.186
192.168.248.21,202.2.108.212
192.168.248.21,112.204.182.1
115.184.149.68,192.168.248.21
192.168.248.21,115.184.149.68
192.168.248.21,188.234.65.95
115.184.149.68,192.168.248.21
192.168.248.21,124.43.106.124
192.168.248.21,90.13.21.251
177.31.8.144,192.168.248.21
192.168.248.21,124.43.106.124
192.168.248.21,213.102.146.207
192.168.248.21,79.118.8.115
192.168.248.21,95.58.238.186
192.168.248.21,202.2.108.212
192.168.248.21,188.234.65.95
192.168.248.21,82.229.171.246
192.168.248.21,124.43.106.124
192.168.248.21,116.68.88.31
192.168.248.21,2.134.30.148
2.134.30.148,192.168.248.21
192.168.248.21,2.134.30.148
192.168.248.21,82.229.171.246
2.134.30.148,192.168.248.21
192.168.248.21,2.134.30.148
192.168.248.21,88.216.10.102
88.216.10.102,192.168.248.21
2.134.30.148,192.168.248.21
192.168.248.21,164.132.165.59
192.168.248.21,116.68.88.31
192.168.248.21,88.216.10.102
88.216.10.102,192.168.248.21
192.168.248.21,88.216.10.102
88.216.10.102,192.168.248.21
192.168.248.21,72.193.23.174
192.168.248.21,164.132.165.59
192.168.248.21,49.0.151.75
192.168.248.21,92.86.47.198
192.168.248.21,124.125.37.28
192.168.248.21,151.75.5.153
192.168.248.21,72.193.23.174
192.168.248.21,1.160.72.47
192.168.248.21,82.229.171.246
192.168.248.21,116.68.88.31
192.168.248.21,49.0.151.75
192.168.248.21,92.86.47.198
192.168.248.21,124.125.37.28
192.168.248.21,151.75.5.153
192.168.248.21,1.160.72.47
192.168.248.21,190.77.192.172
192.168.248.21,164.132.165.59
192.168.248.21,72.193.23.174
192.168.248.21,190.77.192.172
192.168.248.21,49.0.151.75
192.168.248.21,92.86.47.198
192.168.248.21,124.125.37.28
192.168.248.21,151.75.5.153
192.168.248.21,1.160.72.47
192.168.248.21,113.193.110.157
192.168.248.21,190.77.192.172
192.168.248.21,201.239.61.89
